,id_match,team_name,tno
476,1145943,AGUADA,2
477,1145943,NACIONAL,1
478,1146669,AGUADA,2
479,1146669,MALVIN,1
480,1146671,MALVIN,2
481,1146671,AGUADA,1
482,1148724,AGUADA,2
483,1148724,MALVIN,1
484,1170018,MALVIN,2
485,1170018,AGUADA,1
486,1170019,AGUADA,2
487,1170019,MALVIN,1
488,1185278,MALVIN,2
489,1185278,AGUADA,1
490,1219087,AGUADA,2
491,1219087,MALVIN,1
